Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.060669202911635474,0.56,0.6111111111111112,0.42857142857142855,36,14,0.060669202911635474,0.0634714125271175,0.2808546930036553,0.0010904062912271684,0.0953055684640828,0.0969658661494165,0.3752151783357172,0.0011890068884644665,0.16240216555357034,0.08857936464170398,0.31607568760303106,7.814489192977212e-07,0.18207774337026741,0.09185784175969454,0.3850422583028463,0.0005532668599976016,1.724725336594975,290000,126.91582918167114,4162.45355796814
50,0.0589994089719147,0.64,0.8571428571428571,0.4827586206896552,21,29,0.0589994089719147,0.0590374990060959,0.24761188038982426,0.003632657794172615,0.11880261328889265,0.12715400060648796,0.41757497693386814,0.0033819476525202077,0.14225588748623186,0.09630862674203451,0.29762570246148196,7.984596346907188e-07,0.19183991473138579,0.12125312402893508,0.38789386034749096,0.0005628311079187276,1.7353537806901371,300000,126.86367321014404,4289.317235469818
50,0.046860452635930604,0.7,0.8148148148148148,0.5652173913043478,27,23,0.046860452635930604,0.05051465867544919,0.23400573146972536,0.0036769833571881566,0.07640493518951728,0.08704138284389536,0.33869237051079915,0.0016315382091343696,0.13338720936324028,0.09836226111589505,0.32472870672911375,2.785028189521731e-07,0.18543524329068625,0.09752297604503724,0.34779796106170857,3.2551552260723337e-09,1.7409025396854487,310000,126.77275943756104,4416.090004205704
50,0.0577771422802485,0.62,0.6666666666666666,0.5652173913043478,27,23,0.0577771422802485,0.06089717769572278,0.21976211393053796,0.0010040081650783714,0.0920606638202535,0.11463369346784841,0.3471272215403154,0.0007889384798708159,0.13750059312391147,0.09876318509171111,0.325895940393095,6.251937937725977e-07,0.1861379503503503,0.10204653396537255,0.37212580714496235,0.0003928184488016289,1.7451547156296239,320000,127.27947187423706,4543.369482517242
50,0.04734151575711209,0.68,0.7916666666666666,0.5769230769230769,24,26,0.04734151575711209,0.04618726975278285,0.19330633396889838,0.0009432965931688262,0.09297192613958712,0.10242205551041399,0.37499616731680324,0.0006054315774153303,0.1328189508021108,0.09199153845063483,0.3339462052462765,9.346309380683135e-07,0.18617966283866863,0.093096346291862,0.370811527168831,1.4405276986186362e-09,1.7095455372373447,330000,126.29569697380066,4669.6651837825775
50,0.06663447732159501,0.6,0.6666666666666666,0.5625,18,32,0.06663447732159501,0.07264003718114852,0.35635282791507467,0.0063020642376386046,0.11661088067092669,0.12305526635638483,0.42268244499373586,0.002393890522737324,0.1304137186006025,0.0970695180868455,0.29880283838810967,8.972560543583994e-07,0.19788922543824838,0.10845309655744598,0.3732187957255164,6.248954006192626e-10,1.7187899599414957,340000,125.93311548233032,4795.598303556442
50,0.05923967235165215,0.66,0.7083333333333334,0.6153846153846154,24,26,0.05923967235165215,0.06459105631679651,0.2533120748237816,0.0005148435017472689,0.09921413620216354,0.09842416159920694,0.4127500514351902,0.004207584139110423,0.1428003291694079,0.08916183509927594,0.3056402731614184,1.1319370096809709e-06,0.20138207576732634,0.11934559336170232,0.3912795861581307,9.773196462228402e-10,1.72747581075244,350000,126.23191452026367,4921.830221652985
50,0.06847992775776399,0.7,0.6818181818181818,0.7142857142857143,22,28,0.06847992775776399,0.0772124701144424,0.2979633564862527,0.0038990715367650153,0.08045507771682774,0.08802889876089973,0.34675000647622484,0.0014266992260744378,0.13829798212847597,0.0848235322430314,0.2867493057033035,8.038160261202863e-07,0.20832904412433323,0.10266842087288523,0.37314502468863686,0.0002968768350070162,1.7358513249573149,360000,126.38074898719788,5048.210974693298
50,0.056178170901343805,0.72,0.8,0.64,25,25,0.056178170901343805,0.06841883091915328,0.3127801139296197,0.002591603468041213,0.09472307102554511,0.11115970308661571,0.3852214702009225,0.0019768691905622045,0.12258269656240045,0.08568820158153855,0.3067931829549617,1.0054609510367065e-06,0.18580107777230986,0.11620143509812947,0.383402335725763,0.00048028786223712055,1.7268296207665985,370000,126.35710740089417,5174.568085670471
50,0.0527998356260738,0.7,0.7727272727272727,0.6428571428571429,22,28,0.0527998356260738,0.0653010001234661,0.35354019974591994,0.004471672528601564,0.08218747162260744,0.07749403464835684,0.32185467014657815,0.0032623154400529325,0.14640121384261617,0.08229608425200462,0.35436638991509506,1.723674023748888e-06,0.21799505701165928,0.10754044833341979,0.38675788981904635,0.0003044844944503156,1.716953256830612,380000,126.55935168266296,5301.127442121506
50,0.04510245635312165,0.7,0.7692307692307693,0.625,26,24,0.04510245635312165,0.05421789058615961,0.3068609519830744,0.0010704622589778055,0.0794074634122355,0.0967834276808461,0.3873309895693901,0.0016444247477963715,0.131390586090309,0.08801007944816534,0.30993541264124763,7.69615838634766e-07,0.211732264951283,0.09187890952554031,0.3897533337203039,0.0007099452409081928,1.7118925489352947,390000,126.7951488494873,5427.922595739365
50,0.040530418088059086,0.72,0.84,0.6,25,25,0.040530418088059086,0.0406001400697205,0.21878545573614439,0.004549230351884352,0.10225108928349433,0.1087049133120443,0.3759739261648366,0.002891108919711702,0.13401024255122937,0.09689171869981611,0.2949018127243283,8.928173165741617e-07,0.19970628006462066,0.11343613330429578,0.3850622889805942,7.576667047185385e-10,1.7171760122067892,400000,126.27833485603333,5554.200944900513
50,0.059694653399450195,0.66,0.8666666666666667,0.35,30,20,0.059694653399450195,0.059326989101102866,0.21212693907832708,0.004101061832111582,0.08559652980923049,0.1001829712365532,0.3764244202371972,0.002698187164697382,0.13251545096953046,0.1052531424276522,0.3339710664554899,1.2743216764454592e-06,0.17429289041131138,0.1089345163450273,0.3756711269056028,0.0005694470212842764,1.6963202678523257,410000,127.36794066429138,5681.568894147873
50,0.061370750221392274,0.74,0.6521739130434783,0.8148148148148148,23,27,0.061370750221392274,0.08475838666192877,0.3537484311529981,0.001784549126714595,0.07173652843246471,0.08905843195314324,0.36379860944983067,0.003918973440682302,0.15560230142462156,0.08653536652018627,0.32022875743745866,6.080615885857249e-07,0.22123521483754452,0.08550899870937737,0.36558995538178607,4.822521062910163e-09,1.6858547792503082,420000,126.81488299369812,5808.383782148361
50,0.050344371986848976,0.74,0.7894736842105263,0.7096774193548387,19,31,0.050344371986848976,0.06843591330765428,0.3342956475180681,0.001871561174941696,0.06854106587683723,0.08840587965848784,0.3953483008289345,0.0010317441004403798,0.12395225791603524,0.08247194101779683,0.3236991000920178,9.634497962270734e-07,0.23777388378414152,0.09636666474180286,0.38463611736960696,0.0001479786909426298,1.6765864955606118,430000,126.55183410644531,5934.935619831085
