Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.13972253638407836,0.54,0.13972253638407836,0.07608373958281445,0.26,0.5,0.030951781,1.7656743953109235,0.8073982891633521,0.9582760744203693,2.0170678775505753,0.907146264002289,1.1099215553013404,90000,34.91307044029236,1500.4091174602509
50,0.1588399931295612,0.62,0.1588399931295612,0.05103696366517084,0.22,0.46,0.084372394,1.753630292774082,0.7944356145310812,0.959194693598276,1.9606316721013641,0.8829010202752285,1.0777306523083776,92000,32.82532072067261,1533.234442949295
50,0.08367902531842014,0.7,0.08367902531842014,0.04944967990261019,0.1,0.38,0.006041294,1.741759516515363,0.7859867276626591,0.9557728001646081,2.0178132557244104,0.911725631876546,1.1060876202645107,94000,33.810516357421875,1567.0449640750885
50,0.09756017461827453,0.7,0.09756017461827453,0.050108806002230485,0.24,0.48,0.013300056,1.7683462496642464,0.8019557993116112,0.9663904640511263,1.9651907387485728,0.887249288699994,1.0779414481173215,96000,33.838136196136475,1600.8831050395966
50,0.08346415026707207,0.68,0.08346415026707207,0.04588477239107983,0.3,0.46,-0.004572922,1.75488395401209,0.7918955674004134,0.9629883943954093,1.955422236667103,0.8738019818842705,1.081620246239387,98000,33.99080204963684,1634.873911857605
50,0.11061977255882648,0.68,0.11061977255882648,0.05342292505927866,0.18,0.36,0.041879795,1.7066399630366966,0.764988852505218,0.9416511150120884,1.9476662207578226,0.8717840626163442,1.0758821626454538,100000,32.527260065078735,1667.4011766910553
50,0.1244629649577418,0.64,0.1244629649577418,0.05168168820193497,0.22,0.54,0.050974704,1.7634835238509179,0.7952230186522453,0.9682604821850069,1.9411719727332928,0.8598383291788949,1.0813336309624209,102000,32.89000415802002,1700.2911863327026
50,0.12254468809271225,0.7,0.12254468809271225,0.05171921921124835,0.28,0.48,0.028185852,1.7550195588321695,0.7901089313081254,0.9649106406798345,1.9629393078401542,0.8815485267005422,1.0813907858145935,104000,33.990447759628296,1734.2816393375397
50,0.09887160266452238,0.7,0.09887160266452238,0.05220034073874628,0.22,0.38,0.03623152,1.6658857995425946,0.7548670961019774,0.9110186947896867,1.9431297530696798,0.860400858633132,1.082728909536704,106000,34.102845430374146,1768.3844907283783
50,0.10198708717626861,0.66,0.10198708717626861,0.05080691252307045,0.16,0.38,0.042211086,1.6817651348239542,0.7560815740902421,0.9256835641854345,1.9221486929259282,0.8608641292123019,1.0612845966554558,108000,34.091135025024414,1802.4756302833557
50,0.06585940301677654,0.82,0.06585940301677654,0.04683872487009323,0.24,0.44,0.0018990791,1.7089557020983903,0.7629190773853977,0.9460366145548409,1.9301478336936229,0.8608439196099166,1.0693038932729009,110000,32.51908278465271,1834.9947175979614
50,0.10691261058099907,0.62,0.10691261058099907,0.06090900386776233,0.2,0.5,0.024167642,1.7296572121745104,0.778401622092658,0.951255576948381,1.8875178467228282,0.8362688283833511,1.051249011986538,112000,32.95115399360657,1867.9458763599396
50,0.09667995883392821,0.58,0.09667995883392821,0.0628652725873842,0.34,0.5,0.022183292,1.7012712576719515,0.7621143973125358,0.9391568630102667,1.9400062906996178,0.8494548055216109,1.0905515098111624,114000,34.03547954559326,1901.9813611507416
50,0.16641926495513967,0.5,0.16641926495513967,0.08070465668721671,0.2,0.42,0.09570949,1.6756000878527837,0.7465405860765386,0.9290594823963646,1.921007013846789,0.853017925328264,1.0679891122019578,116000,33.5960853099823,1935.5774507522583
50,0.08133586591763116,0.82,0.08133586591763116,0.050014119378251023,0.18,0.34,0.018047672,1.727415228829873,0.775488835740947,0.951926363614749,1.8955424877456288,0.8414624665668315,1.0540800451395105,118000,33.54540419578552,1969.1228597164154
50,0.09960503240838887,0.7,0.09960503240838887,0.04927952508569755,0.24,0.36,0.04130541,1.7039480213381122,0.7582368180600425,0.9457112171564289,1.9160939932986611,0.8447003243826997,1.0713936793548613,120000,33.75898790359497,2002.8818521499634
50,0.10510882545966141,0.66,0.10510882545966141,0.06103081407755917,0.12,0.3,0.041296612,1.6811420326381548,0.7527659646413262,0.9283760511765181,1.8837941511316405,0.8282898515126484,1.0555042882768566,122000,32.18566012382507,2035.0675179958344
50,0.10197995861206531,0.76,0.10197995861206531,0.05012767506701588,0.2,0.44,0.024615202,1.6833307837521614,0.7549204213298806,0.9284103578687132,1.9539416650524544,0.8685821625027866,1.0853594910986604,124000,34.71095633506775,2069.778478860855
50,0.06700459639357743,0.86,0.06700459639357743,0.04379729709213935,0.3,0.6,-0.0031482256,1.7003622853122762,0.7584712369489401,0.9418910331864542,1.9622555701684994,0.8749580334317268,1.087297537496893,126000,34.251708030700684,2104.0301971435547
50,0.07579377089271026,0.72,0.07579377089271026,0.05218524999569713,0.3,0.44,0.00898262,1.698595456682566,0.7657687888132793,0.9328266865995333,1.9281845043179697,0.8553620204988305,1.0728225305609205,128000,34.14653205871582,2138.1767349243164
50,0.07909658475145384,0.72,0.07909658475145384,0.052301614859870546,0.28,0.4,0.009313915,1.703848747139391,0.7602894039573866,0.9435593227579047,1.9154016019138183,0.85078903571564,1.0646125231202626,130000,35.11087393760681,2173.2876138687134
50,0.07972693453914881,0.82,0.07972693453914881,0.04291494472837669,0.24,0.42,0.022420745,1.6553584325505093,0.7347320187064234,0.9206264234247095,1.8540267055358493,0.8143001390830985,1.0397265587077875,132000,31.647261381149292,2204.9348797798157
50,0.08665980013645369,0.68,0.08665980013645369,0.05006885130693342,0.14,0.46,0.026110344,1.6802838224242633,0.7508594575025134,0.9294243727983295,1.8992713047822745,0.8372829613610204,1.0619883449200762,134000,34.439348459243774,2239.374234199524
50,0.09963971192847915,0.74,0.09963971192847915,0.049681475021517804,0.26,0.5,0.03809078,1.7022024862213698,0.759589279436608,0.9426131932443765,1.929280219774614,0.8572063141425044,1.0720739101556551,136000,34.05225658416748,2273.4264957904816
50,0.0651409993869861,0.72,0.0651409993869861,0.041281344917071694,0.3,0.48,-0.0046050535,1.660160620534957,0.7412952626311378,0.9188653388947088,1.8599472035746838,0.8234154901168986,1.0365317033513084,138000,33.962257385253906,2307.3887588977814
50,0.07254142455904405,0.78,0.07254142455904405,0.049589825273002326,0.12,0.4,0.012551801,1.6779446637634141,0.750603686413251,0.9273410003296263,1.851035075341162,0.813989564911504,1.0370455010148483,140000,34.32599425315857,2341.7147603034973
50,0.0629130669277006,0.82,0.0629130669277006,0.04508602025097779,0.24,0.46,0.0034607374,1.6925732470859058,0.7547674472058218,0.9378058275777992,1.851504977866235,0.8158108648946651,1.035694119889067,142000,34.12081837654114,2375.8355841636658
50,0.0886086968769448,0.74,0.0886086968769448,0.051869219464238704,0.24,0.4,0.009123317,1.6895094509748803,0.7539227182088404,0.9355867272739006,1.881213573254539,0.8238645928529335,1.0573489829454368,144000,33.0470244884491,2408.8826138973236
50,0.0753588712589071,0.76,0.0753588712589071,0.053374786664794054,0.12,0.5,0.00096614694,1.6492885891209377,0.7429457268999816,0.9063428793295524,1.892495426107557,0.8343884294273817,1.0581070196983928,146000,35.32974410057068,2444.2123630046844
50,0.06912140179063829,0.72,0.06912140179063829,0.048896593817910616,0.26,0.38,0.0051221596,1.6565085248432623,0.7343873385669404,0.9221211770860942,1.8885339132219547,0.8405107461214507,1.0480231352807026,148000,34.589367151260376,2478.8017349243164
