Eval num episodes,Eval avg final dist,Eval success ratio,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.2089872692236826,0.26,0.2089872692236826,0.19279377078220342,0.5702467305896151,0.0036309510737839723,0.09462512894650883,0.14706282540852453,0.4983078652405836,0.0008130050769622754,2.8865111584474707,220000,103.32875204086304,2284.963788509369
50,0.16333799603934632,0.34,0.16333799603934632,0.12838952518515367,0.5584105506687626,0.004651999048261857,0.055733485698353846,0.07389227883907865,0.24825769986157037,0.00016974122458084107,2.8941925245086897,230000,104.45889329910278,2389.4226853847504
50,0.1200509474653803,0.56,0.1200509474653803,0.15455711858314022,0.6163479626908608,0.00250084215490165,0.011113092267810964,0.010595069125079425,0.04479805945991744,0.00013067422964507802,2.90731811603347,240000,103.54929041862488,2492.9719796180725
50,0.12295839224520622,0.62,0.12295839224520622,0.17547988647937932,0.5313336935635077,0.0005312760874439659,0.012026912899210514,0.011280693761012317,0.066922067495776,0.0003284113869599925,2.8760150018879824,250000,103.3337242603302,2596.3057076931
50,0.09581881295169788,0.42,0.09581881295169788,0.1277333075918857,0.5818249094678309,3.14491122995475e-05,0.02551029835374525,0.02740668981999514,0.10401151861937863,1.8866131794359475e-05,2.851463847293958,260000,104.91934728622437,2701.22505903244
50,0.14377962653124274,0.42,0.14377962653124274,0.15809722244900373,0.5046492061215697,0.00017451606740892522,0.07157395397497765,0.12978287546882505,0.5018340627143644,1.1246713022328159e-05,2.877609328728596,270000,103.79824638366699,2805.023309469223
50,0.08086459261833305,0.52,0.08086459261833305,0.09523884512160864,0.3861919079696263,0.0005851041293138959,0.011507374627751709,0.011474979606657592,0.05043319136468785,9.5694571056959e-05,2.8535831611317373,280000,104.18512105941772,2909.208434343338
50,0.19814016210027838,0.38,0.19814016210027838,0.21378565129834046,0.5621370645845528,0.00042677296497917183,0.021039250135528775,0.03334351527394982,0.15119646199948977,1.452521386957617e-05,2.879374050419658,290000,103.36762022972107,3012.5760583877563
50,0.11984062321321902,0.42,0.11984062321321902,0.14080939955760285,0.5447103225574953,0.0002607410787486275,0.02871365159741887,0.03637094585375578,0.20474772348372772,2.3767782288297568e-05,2.871631399340715,300000,103.79888725280762,3116.37494969368
50,0.16713095938170247,0.32,0.16713095938170247,0.16326273226036972,0.6295716506260329,3.133525390180969e-05,0.05244882151401863,0.06694792240095859,0.22191015440300627,3.133525390031089e-05,2.855985161210511,310000,103.4215133190155,3219.7964663505554
50,0.06921224640508754,0.64,0.06921224640508754,0.10116173217733063,0.48204797545137745,0.0007431089878593422,0.016513662025247143,0.021984098353416994,0.0910012547895872,1.540260344728983e-05,2.863013327400037,320000,103.11859345436096,3322.915063858032
50,0.08023436624355697,0.58,0.08023436624355697,0.08426278359607485,0.3191605726298136,6.502036034528036e-05,0.014941588636014413,0.015545553785922093,0.05883612873186078,6.500368682438307e-05,2.8734998187690968,330000,104.31117630004883,3427.226243495941
50,0.22753811889183037,0.14,0.22753811889183037,0.12596382801432568,0.5837442562352498,0.002717352509551574,0.15610939120508618,0.12909011018429034,0.39480881857075917,9.676063667762858e-05,2.887877464244331,340000,103.24554777145386,3530.4717950820923
