Eval num episodes,Eval avg final dist,Eval success ratio,Eval final puck distance Mean,Eval final puck distance Std,Eval final puck distance Max,Eval final puck distance Min,Eval final endeff distance Mean,Eval final endeff distance Std,Eval final endeff distance Max,Eval final endeff distance Min,Eval puck movement Mean,Eval puck movement Std,Eval puck movement Max,Eval puck movement Min,Eval endeff movement Mean,Eval endeff movement Std,Eval endeff movement Max,Eval endeff movement Min,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.0654650665042344,0.66,0.0654650665042344,0.07281511714735305,0.36017191028336154,0.0010246374526585726,0.07873206046194701,0.09045017882411456,0.36802931305188347,0.002618400498849392,0.12470124641093784,0.10005151113764647,0.3350567436042209,1.58427175035494e-06,0.22343944762555357,0.11230585898608682,0.3870425066215593,0.018265989591695307,3.7242028098301447,1.76790976438483,1.956293089987998,3.78204910869353,1.7962730003305243,1.9857761016283637,100000,167.7715549468994,1682.5971765518188
50,0.0835329361591851,0.42,0.0835329361591851,0.07231821463149495,0.30994385597439145,0.0021308428832413403,0.09774418666174736,0.08514030890206876,0.3690851833543507,0.0006062943915458238,0.06264667894077801,0.08246787186299076,0.2785377940600185,1.0704557199229571e-06,0.15367726507427834,0.12657955108281035,0.3801645640411467,0.0021542009739514045,3.7409531162000658,1.7709760397817242,1.969977079583381,3.7544836435366538,1.7886683910053551,1.9658151856601946,110000,168.60554337501526,1851.20272397995
50,0.060580303917143,0.56,0.060580303917143,0.05169512920386705,0.25459223670238823,0.0005997662493980281,0.0756401255386007,0.07450948228457878,0.2428301086771809,0.0009978796547617595,0.10495110419875996,0.08993442171059678,0.30219732371675345,5.460252438955055e-07,0.19244157603199055,0.10834214617409914,0.35105110105152,0.014192850881127733,3.679646758552154,1.7354518289028036,1.9441949218801786,3.7735361915596135,1.7817292804987832,1.9918068432105502,120000,168.04733848571777,2019.2500669956207
50,0.07039638487647779,0.58,0.07039638487647779,0.07337305303574403,0.3233768594158141,0.0017652672991175847,0.09047517550740514,0.08925399969103803,0.30122425085441423,0.00382008946624589,0.09790315130091468,0.10279815674475992,0.3132414159330878,1.0362997126782518e-06,0.1789537470768475,0.12448461820423191,0.3793574663253843,0.0005603828769802583,3.6695940125641218,1.7392124832392115,1.9303815113810294,3.7733152298989583,1.784127905581816,1.989187357194331,130000,171.74721813201904,2190.997289657593
50,0.07363377854942631,0.56,0.07363377854942631,0.07676548573539438,0.32229108614691154,0.0025951708384137646,0.06437492196590598,0.07542746730003523,0.30129019836709364,0.0035165330444868748,0.11262111886854732,0.09697726283864824,0.31432221493419243,1.0321975571422395e-06,0.18512596697358114,0.11361829746103941,0.36684674693040603,4.465340645509725e-09,3.652100094632912,1.7214306917542617,1.930669395894545,3.762542104357823,1.78190465543565,1.9806374751955294,140000,169.99507212638855,2360.9923663139343
50,0.11746634325281997,0.4,0.11746634325281997,0.1001562066525565,0.3629652650439096,0.009470314245142556,0.10292945237117916,0.08281122417776596,0.31831517424097117,0.0023674894331004513,0.06611721508065503,0.07854226632329596,0.2877353623370618,1.3658151351808907e-06,0.14609851218313022,0.11559891121270365,0.3723750241480201,2.6776411877701233e-09,3.6941816278162536,1.7425901923483726,1.9515914132464252,3.7306417960375056,1.764459261866953,1.9661825020734522,150000,172.06661581993103,2533.0589859485626
50,0.07049832109619122,0.52,0.07049832109619122,0.07097180251263985,0.3136969015664841,0.0061004408246208884,0.09091202679011555,0.08440386732736735,0.3570261672228782,0.0012399604084767817,0.1074860369416135,0.09442063861016309,0.30958535091086464,1.3862523525002552e-06,0.21365211599832315,0.11116144538766937,0.3842994106458362,0.011546364904380269,3.680763659068644,1.7358593426087794,1.9449042822064966,3.734188723933827,1.7693037149399817,1.9648849827530745,160000,167.26628613471985,2700.325277328491
50,0.09215410478067453,0.42,0.09215410478067453,0.08211059822313857,0.30269438877918636,0.0019390927511015094,0.09292120065595018,0.08048185953507254,0.30292932904607506,0.0020594059582301543,0.09382821452581251,0.08549441844602734,0.30486908920619266,9.09462473451477e-07,0.17593691828196636,0.11211619364071812,0.3880067723230439,0.0003661608083731812,3.637572254528217,1.703179475032408,1.9343927541496817,3.7152625995601434,1.7509300254436218,1.9643325635644044,170000,167.07302975654602,2867.3983116149902
50,0.06897405091365166,0.56,0.06897405091365166,0.06297944659447627,0.3095410388057968,0.006161613510661107,0.10568882402140956,0.09035767355158195,0.29358573932553,0.001835337351279305,0.11885325485695325,0.09462387847597811,0.33194020242131267,1.5224962841737672e-06,0.21743769202263444,0.10388888215915403,0.3720156106296,0.01936945780963482,3.6781665654720577,1.730848994228092,1.9473175662026188,3.6513439021133314,1.725301206549729,1.9260427125243433,180000,159.037255525589,3026.435571670532
50,0.07591967681778365,0.58,0.07591967681778365,0.08495251480025018,0.35744005612979585,0.0021952681937086045,0.11175665308099049,0.09564494032304093,0.332644417259605,0.0013177779230231226,0.10093603878789406,0.09874283723542453,0.30977085118547587,1.0930765630578608e-06,0.18510624365578657,0.132960186601416,0.3912774315829254,0.0021743931638110287,3.674548174521507,1.739775152971255,1.9347730033860997,3.672378351654206,1.7239986395114286,1.9483796994698834,190000,158.35549330711365,3184.7910692691803
