Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval n_left,Eval n_right,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s)
50,0.12622935947876604,0.66,0.66,nan,50,0,0.12622935947876604,0.06187755418377264,0.36,0.62,0.019302003,0.7793387982331269,62000,13.216671705245972,405.75018978118896
50,0.24480930468169707,0.4,0.4,nan,50,0,0.24480930468169707,0.12369531434779166,0.18,0.46,0.06201264,0.766450817225394,64000,13.08275580406189,418.8329496383667
50,0.19374891998721175,0.46,0.46,nan,50,0,0.19374891998721175,0.09216026632797654,0.2,0.4,0.06349695,0.7629800953910487,66000,13.046361923217773,431.87931537628174
50,0.1383339554386814,0.68,nan,0.68,0,50,0.1383339554386814,0.051360082176141256,0.28,0.66,-0.0037022315,0.7576615210649023,68000,13.431466341018677,445.31078600883484
50,0.16816363074592025,0.6,0.6,nan,50,0,0.16816363074592025,0.05539991697684576,0.22,0.5,0.037576713,0.7491376809000393,70000,13.267869710922241,458.5786602497101
50,0.14340447834404985,0.5,nan,0.5,0,50,0.14340447834404985,0.07800509355758165,0.26,0.46,0.04369414,0.745904276307536,72000,13.34512996673584,471.9237940311432
50,0.16893209785438257,0.5,0.5,nan,50,0,0.16893209785438257,0.08352969274772754,0.22,0.52,0.008664214,0.759682960308094,74000,13.045320749282837,484.96911907196045
50,0.19503032261886474,0.48,0.48,nan,50,0,0.19503032261886474,0.08593506544174634,0.3,0.56,0.045765713,0.7627510165393726,76000,13.311565160751343,498.28068923950195
50,0.13286029183701625,0.78,nan,0.78,0,50,0.13286029183701625,0.053499051939053535,0.36,0.6,0.019707208,0.7430939905070639,78000,12.810605525970459,511.0912985801697
50,0.12484681329067521,0.62,0.62,nan,50,0,0.12484681329067521,0.0550203612397568,0.24,0.54,0.022481883,0.7557925078919583,80000,13.275724649429321,524.3670275211334
50,0.16066591974941902,0.62,0.62,nan,50,0,0.16066591974941902,0.06010332309576622,0.36,0.54,0.04259844,0.7174383163133453,82000,12.984467029571533,537.3514993190765
50,0.1878941443511214,0.62,0.62,nan,50,0,0.1878941443511214,0.055430904200696914,0.28,0.74,0.00017546356,0.7250379238459659,84000,13.207776308059692,550.5592794418335
