Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.10572475538698316,0.54,0.4634146341463415,0.8888888888888888,0.10572475538698316,0.14672632641705546,0.8265182759149907,0.00036641132402248644,0.029413278170362975,0.11457780430503563,0.8265182759149907,6.656879942121274e-05,3.019398739208998,120000,109.65752387046814,1316.9124884605408
50,0.1573550528338747,0.42,0.32558139534883723,1.0,0.1573550528338747,0.13582720109021365,0.4135939009970285,0.0015369950442201408,0.0075094702010908496,0.008819388734077813,0.043829522617514854,3.089701176234305e-05,3.0399999258813577,130000,109.16987824440002,1426.0823709964752
50,0.17924834906805956,0.32,0.25,0.6,0.17924834906805956,0.21353242584715362,0.8244019019423579,0.0023997836846347265,0.07668592287378179,0.2079053919321665,0.8244019019423579,1.0655152420768754e-05,3.0270600532358807,140000,110.69802665710449,1536.7804021835327
50,0.08728743461590441,0.7,0.6666666666666666,0.875,0.08728743461590441,0.11797683225226852,0.448942888383935,0.0021173976085167023,0.01398719247715396,0.0155799077461707,0.07932562512164754,6.259924446860854e-05,3.0218652372427828,150000,109.8615825176239,1646.6419885158539
50,0.1266698120886603,0.42,0.32558139534883723,1.0,0.1266698120886603,0.1168186078945267,0.33671605471421706,0.0004245905698038732,0.012291157208406707,0.01457716753613026,0.04958029260987429,5.9586261192512424e-05,3.038313605384062,160000,109.67860460281372,1756.3205966949463
50,0.14985878278711978,0.48,0.35,1.0,0.14985878278711978,0.15465841966548047,0.4007738324540343,0.000138585518746126,0.016820727800401076,0.014690411937882933,0.047575651285864065,8.977042263957902e-05,3.0084959533148745,170000,110.51858043670654,1866.83918094635
50,0.13473196360650364,0.48,0.35,1.0,0.13473196360650364,0.1734178949292117,0.5881811321904749,0.0010308655884778695,0.01201596813476541,0.01208349005454537,0.051428186186347424,2.6345680375738922e-05,3.008150149960067,180000,110.41688346862793,1977.2560679912567
50,0.07814622868777762,0.58,0.475,1.0,0.07814622868777762,0.09665868411062088,0.41725157398454793,0.0008597678812431453,0.0073248039414255,0.009316199691124443,0.03813512802967983,9.693714996894531e-05,2.9981218229229456,190000,110.39541053771973,2087.6514825820923
50,0.07112112675290427,0.54,0.4444444444444444,0.7857142857142857,0.07112112675290427,0.08516857180438193,0.41941727613963503,0.00040092948109071713,0.011921148964342649,0.013434528631571931,0.04449843815074103,4.560597295488744e-05,3.026222229769454,200000,109.99923777580261,2197.650724172592
50,0.12474539872666615,0.54,0.37142857142857144,0.9333333333333333,0.12474539872666615,0.1654183883613599,0.5880325966580856,0.0004006871345996199,0.01034285905127626,0.011556246719609227,0.04521288087433173,0.000154024169091993,2.9857942978108736,210000,110.81056118011475,2308.461289167404
50,0.11139795738490496,0.52,0.3684210526315789,1.0,0.11139795738490496,0.1403169466483413,0.5614597962634795,0.0019067695887895475,0.011570816164949958,0.010358346220245652,0.04016924353138368,1.0523086308888985e-05,3.005368435476609,220000,109.46496629714966,2417.9262590408325
